claim_no,Occurrence,Development,Incurred
1,2,0,29130.7959117351
1,2,1,29130.7959117351
1,2,2,29130.7959117351
1,2,3,29130.7959117351
1,2,4,29130.7959117351
1,2,5,29130.7959117351
1,2,6,29130.7959117351
1,2,7,29130.7959117351
1,2,8,29130.7959117351
1,2,9,302860.23726262
1,2,10,302860.23726262
1,2,11,302860.23726262
1,2,12,302860.23726262
1,2,13,302860.23726262
1,2,14,302860.23726262
1,2,15,302860.23726262
1,2,16,273858.988984859
1,2,17,233410.374770058
1,2,18,233410.374770058
1,2,19,233410.374770058
1,2,20,233410.374770058
1,2,21,233410.374770058
1,2,22,233410.374770058
1,2,23,232310.088224719
1,2,24,232310.088224719
1,2,25,232310.088224719
1,2,26,232310.088224719
1,2,27,232310.088224719
1,2,28,232310.088224719
1,2,29,232310.088224719
1,2,30,232310.088224719
1,2,31,232310.088224719
1,2,32,232310.088224719
1,2,33,232310.088224719
1,2,34,232310.088224719
1,2,35,232310.088224719
2,2,0,41950.4743843516
2,2,1,41950.4743843516
2,2,2,41950.4743843516
2,2,3,41950.4743843516
2,2,4,41950.4743843516
2,2,5,41950.4743843516
2,2,6,41950.4743843516
2,2,7,41950.4743843516
2,2,8,41950.4743843516
2,2,9,43406.387564734
2,2,10,43406.387564734
2,2,11,43406.387564734
2,2,12,43406.387564734
2,2,13,258178.963269365
2,2,14,258178.963269365
2,2,15,258178.963269365
2,2,16,258178.963269365
2,2,17,258178.963269365
2,2,18,238564.93416275
2,2,19,238564.93416275
2,2,20,238564.93416275
2,2,21,237675.124401531
2,2,22,237675.124401531
2,2,23,237675.124401531
2,2,24,237675.124401531
2,2,25,237675.124401531
2,2,26,237675.124401531
2,2,27,237675.124401531
2,2,28,237675.124401531
2,2,29,237675.124401531
2,2,30,237675.124401531
2,2,31,237675.124401531
2,2,32,237675.124401531
2,2,33,237675.124401531
2,2,34,237675.124401531
2,2,35,237675.124401531
3,2,0,47127.2226844528
3,2,1,47127.2226844528
3,2,2,78919.1028683958
3,2,3,92990.3498794058
3,2,4,92990.3498794058
3,2,5,92990.3498794058
3,2,6,96874.4947073514
3,2,7,83559.5742285117
3,2,8,83559.5742285117
3,2,9,83559.5742285117
3,2,10,83559.5742285117
3,2,11,83559.5742285117
3,2,12,83559.5742285117
3,2,13,83559.5742285117
3,2,14,83559.5742285117
3,2,15,83559.5742285117
3,2,16,83559.5742285117
3,2,17,83559.5742285117
3,2,18,83559.5742285117
3,2,19,83559.5742285117
3,2,20,83559.5742285117
3,2,21,83559.5742285117
3,2,22,83559.5742285117
3,2,23,83559.5742285117
3,2,24,83559.5742285117
3,2,25,83559.5742285117
3,2,26,83559.5742285117
3,2,27,83559.5742285117
3,2,28,83559.5742285117
3,2,29,83559.5742285117
3,2,30,83559.5742285117
3,2,31,83559.5742285117
3,2,32,83559.5742285117
3,2,33,83559.5742285117
3,2,34,83559.5742285117
3,2,35,83559.5742285117
4,2,0,21855.2976780724
4,2,1,21855.2976780724
4,2,2,21855.2976780724
4,2,3,21855.2976780724
4,2,4,21855.2976780724
4,2,5,21855.2976780724
4,2,6,24151.6004006736
4,2,7,24151.6004006736
4,2,8,93425.8109327583
4,2,9,248778.045078725
4,2,10,248778.045078725
4,2,11,248778.045078725
4,2,12,248778.045078725
4,2,13,248778.045078725
4,2,14,248778.045078725
4,2,15,248778.045078725
4,2,16,227599.310365716
4,2,17,227599.310365716
4,2,18,227599.310365716
4,2,19,227599.310365716
4,2,20,227599.310365716
4,2,21,227599.310365716
4,2,22,227599.310365716
4,2,23,227599.310365716
4,2,24,227599.310365716
4,2,25,227599.310365716
4,2,26,227599.310365716
4,2,27,227599.310365716
4,2,28,227599.310365716
4,2,29,227599.310365716
4,2,30,227599.310365716
4,2,31,227599.310365716
4,2,32,227599.310365716
4,2,33,227599.310365716
4,2,34,227599.310365716
4,2,35,227599.310365716
5,3,0,14706.018114787
5,3,1,14706.018114787
5,3,2,14706.018114787
5,3,3,13439.0352745695
5,3,4,47773.4442703567
5,3,5,42561.4390988498
5,3,6,123500.44789409201
5,3,7,119227.15329260401
5,3,8,119227.15329260401
5,3,9,119227.15329260401
5,3,10,119227.15329260401
5,3,11,119227.15329260401
5,3,12,119227.15329260401
5,3,13,119227.15329260401
5,3,14,119227.15329260401
5,3,15,119227.15329260401
5,3,16,119227.15329260401
5,3,17,119227.15329260401
5,3,18,119227.15329260401
5,3,19,119227.15329260401
5,3,20,119227.15329260401
5,3,21,119227.15329260401
5,3,22,119227.15329260401
5,3,23,119227.15329260401
5,3,24,119227.15329260401
5,3,25,119227.15329260401
5,3,26,119227.15329260401
5,3,27,119227.15329260401
5,3,28,119227.15329260401
5,3,29,119227.15329260401
5,3,30,119227.15329260401
5,3,31,119227.15329260401
5,3,32,119227.15329260401
5,3,33,119227.15329260401
5,3,34,119227.15329260401
5,3,35,119227.15329260401
6,2,0,16855.3806988632
6,2,1,23132.1331046822
6,2,2,28486.702537173
6,2,3,28486.702537173
6,2,4,28486.702537173
6,2,5,25381.2015577064
6,2,6,25381.2015577064
6,2,7,25381.2015577064
6,2,8,25381.2015577064
6,2,9,25381.2015577064
6,2,10,25381.2015577064
6,2,11,25381.2015577064
6,2,12,25381.2015577064
6,2,13,25381.2015577064
6,2,14,25381.2015577064
6,2,15,25381.2015577064
6,2,16,25381.2015577064
6,2,17,25381.2015577064
6,2,18,25381.2015577064
6,2,19,25381.2015577064
6,2,20,25381.2015577064
6,2,21,25381.2015577064
6,2,22,25381.2015577064
6,2,23,25381.2015577064
6,2,24,25381.2015577064
6,2,25,25381.2015577064
6,2,26,25381.2015577064
6,2,27,25381.2015577064
6,2,28,25381.2015577064
6,2,29,25381.2015577064
6,2,30,25381.2015577064
6,2,31,25381.2015577064
6,2,32,25381.2015577064
6,2,33,25381.2015577064
6,2,34,25381.2015577064
6,2,35,25381.2015577064
7,2,0,44432.2672875262
7,2,1,44432.2672875262
7,2,2,44432.2672875262
7,2,3,44432.2672875262
7,2,4,47482.7608079968
7,2,5,47482.7608079968
7,2,6,51403.653997144
7,2,7,60530.4339199015
7,2,8,60530.4339199015
7,2,9,60530.4339199015
7,2,10,69067.7998422101
7,2,11,77734.2957964864
7,2,12,81591.1974098911
7,2,13,78418.7719985079
7,2,14,78418.7719985079
7,2,15,78418.7719985079
7,2,16,78418.7719985079
7,2,17,77912.66312038
7,2,18,436526.07605271
7,2,19,436526.07605271
7,2,20,436526.07605271
7,2,21,366660.215023007
7,2,22,366660.215023007
7,2,23,337699.186967515
7,2,24,827795.695184711
7,2,25,827795.695184711
7,2,26,737645.049017927
7,2,27,737645.049017927
7,2,28,737645.049017927
7,2,29,737645.049017927
7,2,30,737645.049017927
7,2,31,737645.049017927
7,2,32,737645.049017927
7,2,33,737645.049017927
7,2,34,737645.049017927
7,2,35,737645.049017927
8,2,0,1023.00271417666
8,2,1,914.999385317056
8,2,2,914.999385317056
8,2,3,914.999385317056
8,2,4,914.999385317056
8,2,5,914.999385317056
8,2,6,914.999385317056
8,2,7,914.999385317056
8,2,8,914.999385317056
8,2,9,914.999385317056
8,2,10,914.999385317056
8,2,11,914.999385317056
8,2,12,914.999385317056
8,2,13,914.999385317056
8,2,14,914.999385317056
8,2,15,914.999385317056
8,2,16,914.999385317056
8,2,17,914.999385317056
8,2,18,914.999385317056
8,2,19,914.999385317056
8,2,20,914.999385317056
8,2,21,914.999385317056
8,2,22,914.999385317056
8,2,23,914.999385317056
8,2,24,914.999385317056
8,2,25,914.999385317056
8,2,26,914.999385317056
8,2,27,914.999385317056
8,2,28,914.999385317056
8,2,29,914.999385317056
8,2,30,914.999385317056
8,2,31,914.999385317056
8,2,32,914.999385317056
8,2,33,914.999385317056
8,2,34,914.999385317056
8,2,35,914.999385317056
9,2,0,13249.9007654221
9,2,1,13249.9007654221
9,2,2,14909.4300242563
9,2,3,14909.4300242563
9,2,4,293710.013853712
9,2,5,306835.016889247
9,2,6,306835.016889247
9,2,7,306835.016889247
9,2,8,306835.016889247
9,2,9,306835.016889247
9,2,10,306835.016889247
9,2,11,252648.34712316
9,2,12,252648.34712316
9,2,13,252648.34712316
9,2,14,252648.34712316
9,2,15,252648.34712316
9,2,16,252648.34712316
9,2,17,252648.34712316
9,2,18,252648.34712316
9,2,19,252648.34712316
9,2,20,252648.34712316
9,2,21,252648.34712316
9,2,22,252648.34712316
9,2,23,252648.34712316
9,2,24,252648.34712316
9,2,25,252648.34712316
9,2,26,252648.34712316
9,2,27,252648.34712316
9,2,28,252648.34712316
9,2,29,252648.34712316
9,2,30,252648.34712316
9,2,31,252648.34712316
9,2,32,252648.34712316
9,2,33,252648.34712316
9,2,34,252648.34712316
9,2,35,252648.34712316
10,2,0,18407.6294037101
10,2,1,18407.6294037101
10,2,2,21600.6849425768
10,2,3,24003.5331409031
10,2,4,27158.4789901149
10,2,5,146829.684929998
10,2,6,146829.684929998
10,2,7,146829.684929998
10,2,8,146196.773873701
10,2,9,135151.617592112
10,2,10,129154.978521579
10,2,11,129154.978521579
10,2,12,129154.978521579
10,2,13,129154.978521579
10,2,14,129154.978521579
10,2,15,129154.978521579
10,2,16,129154.978521579
10,2,17,129154.978521579
10,2,18,129154.978521579
10,2,19,129154.978521579
10,2,20,129154.978521579
10,2,21,129154.978521579
10,2,22,129154.978521579
10,2,23,129154.978521579
10,2,24,129154.978521579
10,2,25,129154.978521579
10,2,26,129154.978521579
10,2,27,129154.978521579
10,2,28,129154.978521579
10,2,29,129154.978521579
10,2,30,129154.978521579
10,2,31,129154.978521579
10,2,32,129154.978521579
10,2,33,129154.978521579
10,2,34,129154.978521579
10,2,35,129154.978521579
11,2,0,71011.8444058474
11,2,1,71011.8444058474
11,2,2,71011.8444058474
11,2,3,67330.2804080199
11,2,4,79028.0789327599
11,2,5,83756.3251161826
11,2,6,78474.2386606489
11,2,7,86606.3072829971
11,2,8,89782.0189288229
11,2,9,92066.2113617089
11,2,10,89656.5313338963
11,2,11,81133.641810971
11,2,12,80201.2921797119
11,2,13,80201.2921797119
11,2,14,80201.2921797119
11,2,15,80201.2921797119
11,2,16,80201.2921797119
11,2,17,80201.2921797119
11,2,18,80201.2921797119
11,2,19,80201.2921797119
11,2,20,80201.2921797119
11,2,21,80201.2921797119
11,2,22,80201.2921797119
11,2,23,80201.2921797119
11,2,24,80201.2921797119
11,2,25,80201.2921797119
11,2,26,80201.2921797119
11,2,27,80201.2921797119
11,2,28,80201.2921797119
11,2,29,80201.2921797119
11,2,30,80201.2921797119
11,2,31,80201.2921797119
11,2,32,80201.2921797119
11,2,33,80201.2921797119
11,2,34,80201.2921797119
11,2,35,80201.2921797119
12,4,0,19823.1911293978
12,4,1,19823.1911293978
12,4,2,33151.7476178233
12,4,3,26053.9202394785
12,4,4,29410.0165075047
12,4,5,27216.8569331368
12,4,6,26536.3968758848
12,4,7,26472.0412955559
12,4,8,26472.0412955559
12,4,9,26472.0412955559
12,4,10,26472.0412955559
12,4,11,26472.0412955559
12,4,12,26472.0412955559
12,4,13,26472.0412955559
12,4,14,26472.0412955559
12,4,15,26472.0412955559
12,4,16,26472.0412955559
12,4,17,26472.0412955559
12,4,18,26472.0412955559
12,4,19,26472.0412955559
12,4,20,26472.0412955559
12,4,21,26472.0412955559
12,4,22,26472.0412955559
12,4,23,26472.0412955559
12,4,24,26472.0412955559
12,4,25,26472.0412955559
12,4,26,26472.0412955559
12,4,27,26472.0412955559
12,4,28,26472.0412955559
12,4,29,26472.0412955559
12,4,30,26472.0412955559
12,4,31,26472.0412955559
12,4,32,26472.0412955559
12,4,33,26472.0412955559
12,4,34,26472.0412955559
12,4,35,26472.0412955559
13,2,0,55643.5394804606
13,2,1,55643.5394804606
13,2,2,55643.5394804606
13,2,3,55643.5394804606
13,2,4,54475.3018559266
13,2,5,54475.3018559266
13,2,6,54475.3018559266
13,2,7,51275.947095869204
13,2,8,55917.1381251198
13,2,9,55917.1381251198
13,2,10,55917.1381251198
13,2,11,50371.9606114675
13,2,12,50371.9606114675
13,2,13,50371.9606114675
13,2,14,50371.9606114675
13,2,15,50371.9606114675
13,2,16,50371.9606114675
13,2,17,50371.9606114675
13,2,18,50371.9606114675
13,2,19,50371.9606114675
13,2,20,50371.9606114675
13,2,21,50371.9606114675
13,2,22,50371.9606114675
13,2,23,50371.9606114675
13,2,24,50371.9606114675
13,2,25,50371.9606114675
13,2,26,50371.9606114675
13,2,27,50371.9606114675
13,2,28,50371.9606114675
13,2,29,50371.9606114675
13,2,30,50371.9606114675
13,2,31,50371.9606114675
13,2,32,50371.9606114675
13,2,33,50371.9606114675
13,2,34,50371.9606114675
13,2,35,50371.9606114675
14,2,0,52371.6773168333
14,2,1,52371.6773168333
14,2,2,52371.6773168333
14,2,3,58124.6344975876
14,2,4,294945.981761006
14,2,5,972489.11008737
14,2,6,1033873.60940935
14,2,7,825259.180562322
14,2,8,743028.732421421
